PLATE MJD FIBER PLUG_RA PLUG_DEC Z
3586 55181 547 6.931506 0.9329472 2.3538
3586 55181 548 7.104249 1.101194 0.38892
3586 55181 549 7.014237 0.8743066 0.89531
3586 55181 551 7.062002 0.8729031 2.9566
3586 55181 552 7.027094 1.01997 -0.00022868
3586 55181 556 6.825033 0.8817974 0.55661
3586 55181 558 6.909496 0.8497582 -0.00018076
3586 55181 560 6.841406 0.8105362 2.2259
3586 55181 562 7.163161 0.704187 1.5608
3586 55181 564 7.163503 0.6841855 2.4945
3586 55181 566 7.213772 0.5987142 -0.0007239
3586 55181 570 7.007014 0.360471 -9.6972e-05
3586 55181 572 7.244635 0.3344785 0.22422
3586 55181 578 7.18197 0.1672181 0.0048784
3586 55181 580 7.21794 0.1130834 0.74257
3586 55181 584 7.396281 1.226193 2.2483
3586 55181 592 7.297178 1.027829 -0.00071413
3586 55181 594 7.36301 0.9997559 2.2026
3586 55181 608 7.414455 0.6543707 0.11211
3586 55181 610 7.303802 0.329621 2.7428
3586 55181 612 7.35677 0.2646484 -0.00010054
3586 55181 614 7.405576 0.2368974 2.5634
3586 55181 620 7.230475 0.1381493 -0.00055906
3586 55181 622 7.46636 1.247256 2.9446
3586 55181 634 7.454639 0.7616584 3.1885
3586 55181 638 7.555236 0.9088517 0.060717
3586 55181 640 7.503382 0.7764599 -0.0005521
3586 55181 644 7.469466 0.6131123 -0.00047491
3586 55181 652 7.475731 0.4031903 2.5269
3586 55181 668 7.567893 1.18231 2.2377
3586 55181 672 7.546792 1.152589 0.81162
3586 55181 674 7.628452 1.082122 0.18157
3586 55181 676 7.636385 0.9112012 2.4933
3586 55181 680 7.571306 0.8997113 2.8353
3586 55181 696 7.702938 0.4785143 0.65745
3586 55181 700 7.756257 0.3920494 2.5425
3586 55181 714 7.812736 0.892348 3.3254
3586 55181 716 7.745899 1.032244 0.23518
3586 55181 718 7.878746 0.9408468 1.5731
3586 55181 726 7.82041 0.4931982 2.0337
3586 55181 728 7.897958 0.7509537 2.1707
3586 55181 730 7.931417 0.6782852 0.52614
3586 55181 732 7.840426 0.3434136 -0.00076817
3586 55181 734 7.923033 0.5215956 0.00047035
3586 55181 738 7.9357 0.3246586 3.1094
3586 55181 740 7.789855 0.1089106 2.9174
3586 55181 756 7.966647 0.8651349 2.5116
3586 55181 760 7.9374 0.8040502 0.51446
3586 55181 762 8.149397 0.4686704 2.4704
3586 55181 770 7.990501 0.4089787 -0.00051762
3586 55181 774 8.072444 0.230489 0.1953
3586 55181 776 8.034066 0.1244801 1.568
3586 55181 778 8.079891 0.07480739 0.91257
3586 55181 780 8.014092 0.07091598 2.5194
3586 55181 790 8.040119 1.187991 -3.0941e-05
3586 55181 792 8.036877 1.081564 -0.00084071
3586 55181 794 8.082681 0.9776023 -0.00061387
3586 55181 796 8.210664 0.8917754 2.3256
3586 55181 798 8.052665 0.9604334 -0.00055364
3586 55181 800 8.122204 0.8018033 0.77449
3586 55181 802 8.353939 0.4583578 3.3863
3586 55181 804 8.230962 0.7314522 6.0883
3586 55181 806 8.303383 0.5763841 2.3034
3586 55181 808 8.23515 0.3474257 3.0465
3586 55181 812 8.327041 0.3854629 0.69833
3586 55181 813 8.348506 0.6171139 -0.0001808
3586 55181 816 8.326151 0.2714389 3.3602
3586 55181 817 8.185186 0.2606515 2.875
3586 55181 818 8.286888 0.2121899 0.66651
3586 55181 820 8.397142 0.1446359 4.0099
3586 55181 830 8.40678 1.070055 4.0344
3586 55181 840 8.256385 0.9546944 -0.00011314
3586 55181 842 8.402025 0.6975716 4.5769e-05
3586 55181 846 8.404186 0.6699647 0.90246
3586 55181 850 8.60814 0.6511366 2.1483
3586 55181 852 8.439334 0.4012787 0.88102
3586 55181 854 8.467725 0.3825601 -4.0506e-05
3586 55181 856 8.536508 0.3345353 2.2675
3586 55181 858 8.571775 0.178159 2.2332e-05
3586 55181 874 8.634962 1.114081 2.2139
3586 55181 876 8.51066 1.143774 3.5899
3586 55181 880 8.479929 0.8723627 2.4427
3586 55181 882 8.733303 0.5645915 0.00023111
3586 55181 884 8.687456 0.2769566 2.2995
3586 55181 886 8.667474 0.3632363 1.8192
3586 55181 888 8.659952 0.2381554 3.3072
3586 55181 890 8.720125 0.2311002 2.1944
3586 55181 896 8.812014 0.2488926 5.7442
3586 55181 900 8.798434 0.1972579 2.9465e-05
3586 55181 908 8.803766 1.075184 2.2568
3586 55181 912 8.663628 1.140406 5.1189e-05
3586 55181 914 8.935027 0.9577215 0.00010915
3586 55181 916 8.929018 0.9316066 4.8505e-05
3586 55181 918 8.865288 0.8891584 2.4567
3586 55181 920 8.739231 0.8260463 0.72374
3586 55181 924 8.94661 0.6704375 0.85989
3586 55181 926 9.027372 0.4958016 1.5197
3586 55181 934 9.040679 0.4328797 1.723
3586 55181 940 8.985887 0.1796554 0.33055
3586 55181 956 8.931496 1.010904 2.5092
3586 55181 958 9.14038 0.8390906 2.169
3586 55181 960 8.964712 0.8871699 0.00016919
3586 55181 966 9.119364 0.69424 1.0887
3586 55181 976 9.109638 0.3784567 0.65317
3586 55181 988 9.314096 0.6591986 2.6712
3586 55181 990 9.391329 0.4552644 1.2217
3586 55181 992 9.232317 0.1968518 0.58945
3586 55181 994 9.329701 0.5274833 -0.00024904
3586 55181 998 9.362488 0.2246464 3.8837
3586 55181 1000 9.456391 0.1433094 5.8283
3587 55182 6 10.3851 -0.01921445 -0.00035614
3587 55182 14 10.46269 0.03156996 2.2494
3587 55182 56 10.15649 -0.5842064 2.4703
3587 55182 68 10.05346 -0.4136676 -0.00061968
3587 55182 70 10.00746 0.03479305 2.3835
3587 55182 72 10.08018 -0.3953771 1.0651
3587 55182 76 9.993004 -0.2307926 3.3357
3587 55182 80 10.01567 -0.3390807 1.7533
3587 55182 82 9.886941 -0.8867025 -0.00083819
3587 55182 98 9.875152 -1.113454 0.97649
3587 55182 100 9.844878 -0.736083 2.1604
3587 55182 108 9.954617 0.09109245 0.79497
3587 55182 114 9.919061 -0.3274451 0.00011197
3587 55182 126 9.752719 -1.00908 -0.00068733
3587 55182 130 9.721481 -1.055542 2.3713
3587 55182 138 9.722623 -1.023684 2.2085
3587 55182 152 9.684047 -0.2723015 -0.00029632
3587 55182 154 9.721519 -0.4907303 -3.736e-05
3587 55182 166 9.542992 -0.8274937 2.4951
3587 55182 168 9.467912 -0.7932152 -0.00075019
3587 55182 176 9.526847 -0.9345083 2.3108
3587 55182 184 9.566953 -0.4837942 3.0059
3587 55182 204 9.434137 -0.78894 -0.00019376
3587 55182 209 9.384579 -1.00746 -0.00059753
3587 55182 210 9.419903 -1.054758 0.067158
3587 55182 222 9.445635 -0.3479397 2.6168
3587 55182 226 9.377381 -0.2827693 8.7283e-05
3587 55182 244 9.063317 -1.04476 2.6434
3587 55182 250 9.146051 -1.122806 2.9492
3587 55182 254 9.102846 -0.8043718 -3.6065e-05
3587 55182 260 9.020438 -1.217474 0.82822
3587 55182 262 9.220841 -0.3660933 -0.00088831
3587 55182 266 9.166403 -0.0007271475 -0.00052721
3587 55182 268 9.258676 0.1093183 2.6887
3587 55182 274 9.101937 -0.408117 2.3146
3587 55182 278 9.214355 -0.2932792 -0.00057643
3587 55182 282 8.925786 -1.220356 2.1854
3587 55182 286 8.992101 -1.042412 2.3233
3587 55182 288 8.949933 -1.190376 1.5527
3587 55182 290 8.887618 -1.238327 -0.00068116
3587 55182 292 8.933537 -1.169105 3.2075
3587 55182 294 8.901991 -1.104298 2.3636
3587 55182 298 9.066208 -0.7077986 2.1708
3587 55182 302 8.892755 -0.5397668 2.8529
3587 55182 308 9.015154 -0.4258686 2.2357
3587 55182 316 8.981812 0.07115283 1.5447
3587 55182 317 9.081404 -0.1860274 -0.00030543
3587 55182 320 8.941776 -0.1414015 2.7618e-05
3587 55182 330 8.801212 -0.9268327 0.42018
3587 55182 332 8.659687 -0.8207201 1.837
3587 55182 336 8.832243 -0.8774201 3.1316
3587 55182 342 8.752699 -0.4181255 2.3171
3587 55182 344 8.636339 -0.6856679 1.4139
3587 55182 351 8.728443 -0.2366101 -0.00057712
3587 55182 356 8.693085 0.06099274 2.7187
3587 55182 360 8.706502 -0.3510036 2.4429
3587 55182 364 8.585935 -1.154807 2.8531
3587 55182 368 8.447066 -0.8931925 -0.00025439
3587 55182 370 8.521833 -0.8913541 0.00012745
3587 55182 372 8.57505 -0.754854 1.3874
3587 55182 376 8.543855 -0.8198656 2.8578
3587 55182 384 8.459226 -0.5473089 3.2917
3587 55182 386 8.484726 -0.7251488 2.3064
3587 55182 389 8.455858 -0.3935867 2.8604
3587 55182 391 8.451656 -0.6531322 2.7429
3587 55182 399 8.607731 -0.08224558 -0.00089229
3587 55182 400 8.616482 0.05470481 1.0566
3587 55182 404 8.293085 -1.054574 2.8008
3587 55182 406 8.385189 -1.024547 0.63511
3587 55182 410 8.300523 -1.102349 2.1311
3587 55182 412 8.284304 -0.8579262 0.00048467
3587 55182 416 8.413411 -0.9360369 0.13093
3587 55182 418 8.375971 -0.7806574 -0.0005337
3587 55182 420 8.273088 -1.020126 3.0193
3587 55182 422 8.345026 -0.7496497 1.4995
3587 55182 428 8.221819 -0.1747351 1.0775
3587 55182 430 8.273203 -0.2581556 -0.00015345
3587 55182 440 8.424789 -0.5314639 0.0002861
3587 55182 444 8.201932 -0.9142241 2.6598
3587 55182 446 8.267046 -0.878158 0.26223
3587 55182 450 8.128457 -1.140137 2.0248
3587 55182 462 7.90258 -0.2220423 -0.00016036
3587 55182 466 8.009283 -0.604123 2.4202
3587 55182 468 8.108319 -0.7257201 2.4307
3587 55182 470 8.040331 -0.1692726 -0.00056222
3587 55182 472 8.151754 -0.7684635 0.54756
3587 55182 477 8.077063 -0.1542938 0.18882
3587 55182 478 7.853772 -0.01264291 0.22529
3587 55182 484 7.764553 -0.3857296 0.3588
3587 55182 488 7.938326 -0.7212738 2.4942
3587 55182 494 7.705121 -0.01743875 2.2568
3587 55182 500 7.558393 -0.0616607 2.7298
3587 55182 504 7.753349 0.3921304 2.5489
3587 55182 506 7.692127 0.02065352 2.8981
3587 55182 508 7.53286 -0.002002554 -0.0032672
3587 55182 518 7.830576 0.5004662 0.43702
3587 55182 540 8.244233 0.9419411 0.00022494
3587 55182 548 8.010264 1.107982 2.8898
3587 55182 558 8.002176 0.9160895 2.4377
3587 55182 566 7.923033 0.5215956 0.00044077
3587 55182 568 7.932497 0.3430029 2.7355
3587 55182 570 7.898241 0.5725804 2.2645
3587 55182 576 8.093485 0.6987862 0.24513
3587 55182 588 8.423393 0.9230874 1.6338
3587 55182 596 8.465343 0.816701 2.8525
3587 55182 602 8.269997 0.7272702 2.2166
3587 55182 603 8.30906 0.7221144 -0.00068652
3587 55182 606 8.311374 0.8182069 1.9563
3587 55182 612 8.390218 0.7225297 0.37645
3587 55182 613 8.319604 0.6377246 -0.00010064
3587 55182 616 8.37865 0.533838 1.11
3587 55182 617 8.075395 0.1353663 3.7994
3587 55182 618 8.239031 0.2489494 -5.4967e-05
3587 55182 620 8.079891 0.07480739 0.91995
3587 55182 630 8.630047 1.183422 2.2118
3587 55182 632 8.741566 1.066427 2.6959
3587 55182 638 8.737034 0.8282907 0.16368
3587 55182 644 8.523034 0.589174 2.2474
3587 55182 650 8.461103 0.4120856 -0.00019487
3587 55182 652 8.538593 0.338921 1.9364
3587 55182 656 8.397142 0.1446359 1.2251
3587 55182 667 9.016081 1.18024 3.3078e-05
3587 55182 668 9.013048 1.231263 -0.00060963
3587 55182 676 9.054134 1.104956 -0.00036321
3587 55182 683 8.661928 0.7755939 -0.00064935
3587 55182 688 8.728675 0.5500592 -2.0441e-05
3587 55182 695 8.613198 0.1954584 -0.00024897
3587 55182 698 8.60782 0.1763929 -0.00062642
3587 55182 712 9.172204 0.9222975 -6.6805e-05
3587 55182 714 9.168108 1.247079 2.348
3587 55182 720 9.127879 1.089075 2.4539
3587 55182 721 8.855386 0.6674251 4.7619
3587 55182 722 8.82482 0.726039 2.9677
3587 55182 727 9.020997 0.659203 -0.0012259
3587 55182 728 8.809448 0.5531443 -0.00065999
3587 55182 731 8.765725 0.2782274 2.6708
3587 55182 734 8.941088 0.3849533 3.2385
3587 55182 737 8.927112 0.3667125 2.3167
3587 55182 752 9.363559 1.0406 4.0811
3587 55182 763 9.016661 0.6380439 -0.00071062
3587 55182 769 9.175961 0.7718373 2.2869
3587 55182 770 9.114666 0.2121031 2.6136
3587 55182 774 9.068099 0.7066154 1.6872
3587 55182 776 9.204796 0.3252714 3.0007
3587 55182 784 9.430211 1.079069 -0.00028091
3587 55182 806 9.446376 0.483228 -0.0007946
3587 55182 820 9.506364 0.6734665 1.1619
3587 55182 826 9.205259 0.3869182 2.6258
3587 55182 830 9.305205 0.7684936 2.4362
3587 55182 834 9.255568 0.2628572 1.1522
3587 55182 836 9.393224 0.5443022 2.9434
3587 55182 838 9.378581 0.4168576 0.00047551
3587 55182 860 9.58527 0.4582996 2.4093
3587 55182 862 9.593615 0.995018 -0.0006938
3587 55182 888 9.75663 0.4794496 -0.00065058
3587 55182 896 9.700139 0.1504451 3.0398
3587 55182 898 9.868562 0.3575588 -0.00044997
3587 55182 900 9.876329 0.2983998 2.8953
3587 55182 910 9.743491 0.9461023 0.5162
3587 55182 918 9.837333 0.8473656 -0.00046613
3587 55182 926 9.939972 0.7094405 1.34
3587 55182 930 9.915751 0.3562676 1.2609
3587 55182 932 9.976221 0.5229488 1.6312
3587 55182 934 10.0116 0.5851656 2.7471
3587 55182 938 10.08966 0.2147002 -0.0004301
3587 55182 940 9.936267 0.2540849 -0.00068584
3587 55182 942 9.956961 1.119127 -0.00072643
3587 55182 945 9.895875 1.029686 2.1696
3587 55182 946 9.991857 1.050039 2.1813
3587 55182 970 10.14248 0.232342 2.5418
3587 55182 974 10.1576 0.2422266 -0.00025587
3587 55182 978 10.04155 0.6356518 2.4432
3587 55182 982 10.3377 0.6229097 0.25037
3587 55182 986 10.34725 0.5992215 2.6506
3587 55182 990 10.33447 0.4364253 2.3609
3587 55182 998 10.4456 0.346401 2.826
3588 55184 4 11.413 -0.06723294 1.4179
3588 55184 8 11.30887 -0.3387252 2.4001
3588 55184 10 11.31459 -0.5616686 -0.00074561
3588 55184 12 11.45436 -0.1616572 0.00056961
3588 55184 16 11.433 -0.2069369 4.0097
3588 55184 20 11.38081 -0.1984367 0.72758
3588 55184 22 11.26485 0.0190346 1.1617
3588 55184 24 11.17459 -0.1456313 2.6711
3588 55184 28 11.07167 -0.6111331 2.2343
3588 55184 30 11.1024 -0.4621367 -0.00048114
3588 55184 34 11.14822 -0.01020204 -1.4094e-05
3588 55184 36 11.06844 -0.3814848 2.4
3588 55184 38 11.28962 -0.1094797 -0.00093443
3588 55184 42 11.00977 -0.8408883 2.1187
3588 55184 46 10.9639 -0.8275484 2.3285
3588 55184 48 11.02968 -0.6811937 -0.00060551
3588 55184 50 11.06596 -0.7175387 3.2475
3588 55184 52 11.22198 -0.7394796 2.5702
3588 55184 54 11.20303 -0.7951733 -8.8181e-05
3588 55184 56 11.17717 -0.7996268 -0.00076942
3588 55184 58 11.04556 -0.8745077 2.4262
3588 55184 62 10.99022 0.03795756 -0.00073551
